# Id
# Title
# Album Id
# Length

1,Shake It Off,1,219
2,Blank Space,1,231
3,Bad Blood,1,211
4,Wildest Dreams,1,220
5,I Know Places,1,195
6,A Tale of 2 Citiez,2,269
7,No Role Modelz,2,292
8,Hello,2,219
9,Apparently,2,293
10,Love Yourz,2,211
11,Come Together,3,259
12,Oh! Darling,3,183
13,I Want You (She's So Heavy),3,467
14,Here Comes the Sun,3,186
15,Because,3,166
16,Fight Fire With Fire,4,285
17,For Whom the Bell Tolls,4,311
18,Fade to Black,4,415
19,Trapped Under Ice,4,245
20,Escape,4,264
21,Heavydirtysoul,5,235
22,Stressed Out,5,202
23,Ride,5,215
24,The Judge,5,298
25,Doubt,5,192
